id,zhName,version,categoryOne,categoryTwo,categoryThree,categoryName,sourcePath,fileType,isRelease,isLoad,resourceType,cores,numReplicas,author,disabled,description,extend,createBy,updateBy,createUser,updateUser,createTime,updateTime
1003074,feature_selector,1.0,1,100000,0,Python 自定义算法  ,feature_selector.zip,2,1,0,1,1.0,1,xch,0,,0,1,1,admin,admin,2026-02-09 17:17:28,2026-05-07 11:14:25
1003072,PreAleartModuleForProcesVariables,1.1.1,1,100000,0,Python 自定义算法  ,PreAleartModuleForProcesVariables.zip,2,1,0,1,1.0,1,wangyiao,0,,0,1,1,admin,admin,2026-02-05 10:03:10,2026-05-07 13:05:55
1003071,spc_swiftcontrol_train_online_gui,v1,1,100000,0,Python 自定义算法  ,spc_swiftcontrol_train_online_gui.py,2,1,0,1,1.0,1,wyb,0,,0,1,1,admin,admin,2026-02-05 09:03:00,2026-05-07 14:39:33
1003068,instrument_reliability_assessment_V3_train,1.2,1,10011,0,Python 智能预警  ,instrument_reliability_assessment_V3_train.zip,2,1,0,1,1.0,1,hl,0,,0,1,1,admin,admin,2026-02-04 16:39:30,2026-05-08 14:57:48
1003067,instrument_reliability_assessment_V3,1.2,1,10011,0,Python 智能预警  ,instrument_reliability_assessment_V3.zip,2,1,0,1,1.0,1,hl,0,,0,1,1,admin,admin,2026-02-04 16:31:09,2026-05-08 14:56:28
1003066,PreAlertModuleForProcessValuesInTraining,1.1.1,1,100000,0,Python 自定义算法  ,PreAlertModuleForProcessValuesInTraining.zip,2,1,0,1,3.0,2,wangyiao,0,,0,1,1,admin,admin,2026-02-04 16:11:55,2026-05-07 13:06:59
1003063,auto_supervision_score_v1,1.0,1,100000,0,Python 自定义算法  ,auto_supervision_score_v1.py,2,1,0,1,1.0,1,HHF,0,,0,1,1,admin,admin,2026-02-04 15:30:49,2026-05-07 10:37:45
1003061,control_performance_assessment_V3,3.0,1,100000,0,Python 自定义算法  ,control_performance_assessment_V3.zip,2,1,0,1,1.0,1,blue,0,,0,1,1,admin,admin,2026-02-04 13:31:19,2026-05-08 09:51:14
1003060,control_performance_assessment_V3_train,3.0,1,100000,0,Python 自定义算法  ,control_performance_assessment_V3_train.zip,2,1,0,1,1.0,1,blue,0,,0,1,1,admin,admin,2026-02-04 13:30:25,2026-05-08 09:51:47
1003059,spc_long_control_train_online_gui,V1.0,1,100000,0,Python 自定义算法  ,spc_long_control_train_online_gui.zip,2,1,0,1,2.0,1,mxh,0,,0,1,1,admin,admin,2026-02-04 11:13:10,2026-05-08 17:46:12
1003058,spc_long_controll_train_gui,V1.0,1,100000,0,Python 自定义算法  ,spc_long_control_train_gui.zip,2,0,0,0,0.0,0,mxh,0,,0,1,1,admin,admin,2026-02-04 11:12:12,2026-05-07 11:10:36
1003057,valve_anomaly_detection_infer,1,1,100000,0,Python 自定义算法  ,valve_anomaly_detection_infer.zip,2,1,0,1,1.0,1,zqd,0,,0,1,1,admin,admin,2026-02-04 09:27:10,2026-05-07 11:24:50
1003056,valve_anomaly_detection_train,1,1,100000,0,Python 自定义算法  ,valve_anomaly_detection_train.zip,2,1,0,1,1.0,1,zqd,0,,0,1,1,admin,admin,2026-02-04 09:25:39,2026-05-07 11:25:36
1003054,spc_swiftcontrol_train_gui,v1,1,100000,0,Python 自定义算法  ,spc_swiftcontrol_train_gui.py,2,1,0,1,1.0,1,wyb,0,,0,1,1,admin,admin,2026-02-03 13:17:59,2026-05-07 14:39:52
1003053,spc_forecast_online_gui,v1,1,100000,0,Python 自定义算法  ,spc_forecast_online_gui.zip,2,1,0,1,1.0,1,zww,0,,0,1,1,admin,admin,2026-02-03 13:17:04,2026-05-07 19:36:05
1003052,spc_forecast_train_gui,v1,1,100000,0,Python 自定义算法  ,spc_forecast_train_gui.zip,2,0,0,0,0.0,0,zww,0,,0,1,1,admin,admin,2026-02-03 13:15:45,2026-05-07 10:58:51
1003051,spc_select_feature_train_gui,v1,1,100000,0,Python 自定义算法  ,spc_select_feature_train_gui.zip,2,0,0,0,0.0,0,zww,0,,0,1,1,admin,admin,2026-02-03 13:15:06,2026-05-07 10:57:25
1003050,spc_adaptivecontrol_online_gui,v1.0,1,100000,0,Python 自定义算法  ,spc_adaptivecontrol_online_gui.py,2,1,0,1,1.0,1,yxy,0,,0,1,1,admin,admin,2026-02-03 13:14:56,2026-05-07 10:50:37
1003049,spc_adaptivecontrol_offline_gui,v1.0,1,100000,0,Python 自定义算法  ,spc_adaptivecontrol_offline_gui.py,2,1,0,1,1.0,1,yxy,0,,0,1,1,admin,admin,2026-02-03 13:14:10,2026-05-07 10:51:32
1003048,spc_identification_analysis_train_gui,v1.0,1,100000,0,Python 自定义算法  ,spc_identification_analysis_train_gui.py,2,1,0,1,1.0,1,yxy,0,,0,1,1,admin,admin,2026-02-03 13:13:14,2026-05-07 10:52:38
1003047,spc_correlation_analysis_gui,v1.0,1,100000,0,Python 自定义算法  ,spc_correlation_analysis_gui.py,2,1,0,1,1.0,1,yxy,0,,0,1,1,admin,admin,2026-02-03 13:12:15,2026-05-07 10:53:07
1003046,spc_classification_train_gui,1.0,1,100000,0,Python 自定义算法  ,spc_classification_train_gui.py,2,0,0,0,0.0,0,lw,0,,0,1,1,admin,admin,2026-02-03 13:10:59,2026-05-09 09:16:18
1003045,spc_classification_train_online_gui,1.0,1,100000,0,Python 自定义算法  ,spc_classification_train_online_gui.py,2,1,0,1,1.0,1,lw,0,,0,1,1,admin,admin,2026-02-03 11:50:42,2026-05-09 09:16:38
1003044,spc_dataprocess_train_online_gui,1.0,1,100000,0,Python 自定义算法  ,spc_dataprocess_train_online_gui.py,2,1,0,1,1.0,1,lw,0,,0,1,1,admin,admin,2026-02-03 11:30:51,2026-05-09 09:17:20
1003043,spc_dataprocess_train_gui,1.0,1,100000,0,Python 自定义算法  ,spc_dataprocess_train_gui.py,2,1,0,1,1.0,1,lw,0,,0,1,1,admin,admin,2026-02-03 11:30:19,2026-05-09 09:15:10
1003042,spc_classification_finetune_online_gui,1.0,1,100000,0,Python 自定义算法  ,spc_classification_finetune_online_gui.py,2,0,0,0,0.0,0,lw,0,,0,1,1,admin,admin,2026-02-03 11:29:34,2026-05-09 09:15:47
1004002,spc_online_optimization_gui,v1,1,0,0,Python    ,spc_online_optimization_gui.zip,2,0,0,1,1.0,1,zww,0,,0,1,1,admin,admin,2026-01-13 10:37:23,2026-02-04 10:02:59
1004001,spc_finetune_online_gui,v1,1,0,0,Python    ,spc_finetune_online_gui.zip,2,0,0,0,0.0,1,zww,0,,0,1,1,admin,admin,2026-01-13 10:37:23,2026-05-07 11:01:58
1003013,AutoMLRegressionInferenceOnline,1.1.1,1,100000,0,Python 自定义算法  ,AutoMLRegressionInferenceOnline.zip,2,1,0,1,2.0,3,wangyiao,0,,0,1,1,admin,admin,2026-01-13 10:37:23,2026-04-09 19:22:04
1003012,Derived_Tag_Calculation,V1,1,100000,0,Python 自定义算法  ,Derived_Tag_Calculation.py,2,1,0,1,1.0,1,wsh,0,,0,1,1,admin,admin,2026-01-13 10:15:46,2026-05-07 13:24:24
1003007,AutoMLTransformerInference,1.0,1,100000,0,Python 自定义算法  ,AutoMLTransformerInference.zip,2,1,0,1,1.0,1,xch,0,,0,1,1,admin,admin,2026-01-12 19:44:09,2026-05-07 11:16:04
1003006,AutoMLTransformerTrain,1.0,1,100000,0,Python 自定义算法  ,AutoMLTransformerTrain.zip,2,0,0,1,1.0,1,xch,0,,0,1,1,admin,admin,2026-01-12 19:42:41,2026-05-07 11:16:41
1003004,data_preprocess_analyse_v1,1.0,1,100000,0,Python 自定义算法  ,data_preprocess_analyse_v1.zip,2,1,0,1,10.0,3,xch,0,,0,1,1,admin,admin,2026-01-12 19:34:24,2026-05-08 17:10:19
1002029,extract_product_sites,v1,1,0,0,Python    ,extract_product_sites.py,2,1,0,1,1.0,1,xgy,0,,0,1,1,admin,admin,2025-10-22 09:28:16,2026-05-07 14:54:39
1002028,key_variable_write,v1,1,0,0,Python    ,key_variable_write.py,2,1,0,1,1.0,1,cjn,0,,0,1,1,admin,admin,2025-10-22 09:27:38,2026-05-07 14:52:31
1002027,reconstruct_redesign,v1,1,0,0,Python    ,reconstruct_redesign.py,2,1,0,1,1.0,1,cjn,0,,0,1,1,admin,admin,2025-10-22 09:26:57,2026-05-07 14:52:44
1002026,restricted_judge,v1,1,0,0,Python    ,restricted_judge.py,2,1,0,1,1.0,1,cjn,0,,0,1,1,admin,admin,2025-10-22 09:24:38,2026-05-07 14:52:55
1002025,restricted_new_build,v1,1,0,0,Python    ,restricted_new_build.py,2,1,0,1,1.0,1,cjn,0,,0,1,1,admin,admin,2025-10-22 09:23:32,2026-05-07 14:53:05
1002024,model_update,1,1,0,0,Python    ,model_update.py,2,1,0,1,1.0,1,wq5,0,,0,1,1,admin,admin,2025-10-22 09:21:55,2026-05-07 14:55:08
1002023,pinch_point,1.0,1,0,0,Python    ,pinch_point.py,2,1,0,1,1.0,1,zzx,0,,0,1,1,admin,admin,2025-10-22 09:20:51,2026-05-07 14:54:05
1002022,input_deal,1,1,0,0,Python    ,input_deal_api.py,2,1,0,1,1.0,1,wq5,0,,0,1,1,admin,admin,2025-10-22 09:20:11,2026-05-07 14:55:27
1002021,info_check,1,1,0,0,Python    ,info_check.py,2,1,0,1,1.0,1,wq5,0,,0,1,1,admin,admin,2025-10-22 09:19:50,2026-05-07 14:55:46
1002020,file_exists,1,1,0,0,Python    ,file_exists.py,2,1,0,1,1.0,1,wq5,0,,0,1,1,admin,admin,2025-10-22 09:19:19,2026-05-07 14:56:04
1002019,ex_fix_opt,1,1,0,0,Python    ,ex_fix_opt.py,2,1,0,1,1.0,1,wq5,0,,0,1,1,admin,admin,2025-10-22 09:18:19,2026-05-07 14:56:21
1002018,ex_eval,1,1,0,0,Python    ,ex_eval_api.py,2,1,0,1,1.0,1,wq5,0,,0,1,1,admin,admin,2025-10-22 09:16:26,2026-05-07 14:56:40
1002017,AT_opt,1,1,0,0,Python    ,AT_opt.py,2,1,0,1,1.0,1,wq5,0,,0,1,1,admin,admin,2025-10-22 09:14:57,2026-05-07 14:57:01
1002016,AT_exergy_cal,1,1,0,0,Python    ,AT_exergy_cal.py,2,1,0,1,1.0,1,wq5,0,,0,1,1,admin,admin,2025-10-22 09:14:32,2026-05-07 14:57:18
1002201,Membrane_2,Membrane_2,1,0,0,Python    ,Membrane_2.py,2,1,0,1,1.0,1,1,0,,0,1,1,admin,admin,2025-08-26 14:00:46,2025-09-03 19:57:27
1002202,boiler_rt,20250826,1,0,0,Python    ,boiler_rt.py,2,1,0,1,1.0,1,K,0,,0,1,1,admin,admin,2025-08-26 11:37:21,2025-09-03 19:58:18
1002203,bl3_steamflow_0816,20250826,1,0,0,Python    ,bl3_steamflow_0816.py,2,1,0,1,1.0,1,K,0,,0,1,1,admin,admin,2025-08-26 11:35:43,2025-09-03 19:57:52
1002204,TPT_optimize_2,v1,1,0,0,Python    ,TPT_optimize_2.py,2,1,0,1,1.0,1,wsh,0,,0,1,1,admin,admin,2025-08-25 23:24:49,2026-05-07 13:23:52
1002205,TPT-SSD2,V1,1,0,0,Python    ,TPT-SSD2.py,2,1,0,1,1.0,1,XYC,0,,0,1,1,admin,admin,2025-08-25 21:07:07,2026-05-07 13:23:19
1002206,TPT-SSD1,V1,1,0,0,Python    ,TPT-SSD1.py,2,1,0,1,1.0,1,XYC,0,,0,1,1,admin,admin,2025-08-25 21:05:56,2026-05-07 13:22:44
1002207,TPT_high_frequency,1.0,1,0,0,Python    ,TPT_high_frequency.py,2,1,0,1,1.0,1,cj,0,,0,1,1,admin,admin,2025-08-23 17:56:03,2025-09-03 19:57:03
1002208,ts_data_process_v9,v1,1,0,0,Python    ,ts_data_process_v9.py,2,1,0,1,1.0,1,admin,0,,0,1,1,admin,admin,2025-08-23 15:20:55,2025-09-18 17:27:03
1002209,ts_data_eval_v9,v1,1,0,0,Python    ,ts_data_eval_v9.py,2,1,0,1,1.0,1,admin,0,,0,1,1,admin,admin,2025-08-23 15:20:23,2025-09-18 17:26:40
1002210,tpt_anomaly_pump_ops,v1.0,1,0,0,Python    ,tpt_anomaly_pump_ops.py,2,1,0,1,1.0,1,zqd,0,,0,1,1,admin,admin,2025-08-23 14:20:17,2025-09-03 19:56:38
1002211,process_anomaly_warning_offline,2.0,1,0,0,Python    ,process_anomaly_warning_offline.zip,2,1,0,1,1.0,1,hhf,0,,0,1,1,admin,admin,2025-08-23 14:09:19,2026-05-07 13:45:09
1002200,view_data,1.0.0,1,0,0,Python    ,view_data.py,2,1,0,1,1.0,1,TPT,0,,0,1,1,admin,admin,2025-08-21 14:13:52,2025-08-24 14:27:26
1002100,spc_long_control_train_online,V1.0,1,0,0,Python    ,spc_long_control_train_online.zip,2,0,0,0,0.0,1,maxiaohua,0,,0,1,1,admin,admin,2025-08-20 16:22:47,2026-05-07 11:07:29
1002101,spc_classification_train_online,1.0,1,0,0,Python    ,spc_classification_train_online.py,2,0,0,0,0.0,1,lw,0,,0,1,1,admin,admin,2025-08-20 16:01:39,2026-05-09 09:18:33
