算法名称,是否发布,核数,副本数,发布位置
AutoMLTransformerInference,是,1,1,CPU
TPT-SSD2,是,1,1,CPU
TPT-SSD1,是,1,1,CPU
TPT_optimize_2,是,1,1,CPU
AutoMLRegressionInferenceOnline,是,1,1,CPU
TPTMoE,否,0,0,GPU
tptmoe_inference,是,1,1,CPU
control_performance_assessment_V3_train,是,1,1,CPU
control_performance_assessment_V3,是,1,1,CPU
valve_anomaly_detection_train,是,1,1,CPU
valve_anomaly_detection_infer,是,1,1,CPU
instrument_reliability_assessment_V3_train,是,1,1,CPU
instrument_reliability_assessment_V3,是,1,1,CPU
PreAlertModuleForProcessValuesInTraining,是,1,1,CPU
PreAleartModuleForProcesVariables,是,3,3,CPU
data_preprocess_analyse_v1,是,3,3,CPU
auto_supervision_score_v1,是,1,1,CPU
dataOps,是,5,1,CPU
feature_selector,是,1,1,CPU
Derived_Tag_Calculation,是,1,1,CPU
tptmoe_create_data_sample,是,1,1,CPU
